modelo,categoria_tarefa,execucoes,status,tempo_total_ms_media,tempo_total_ms_p95,tokens_por_segundo_media,tokens_gerados_media,taxa_falha,ram_processo_mb_pico_medio,gpu_media_media,vram_mb_pico_medio
gemma3:1b,explicacao_conceitual_curta,3,ok,5405.7934,5510.589,39.3411,67.0,0.0,524.89,13.37,619.0
gemma3:1b,explicacao_tecnica_media,3,ok,7286.9181,7376.3498,39.7086,128.0,0.0,524.87,19.24,639.67
gemma3:1b,resumo_texto,3,ok,6966.4425,7013.4776,40.053,112.0,0.0,524.87,20.1,649.0
gemma3:1b,geracao_codigo_simples,3,ok,7087.0671,7100.1601,39.0381,128.0,0.0,524.88,17.29,649.0
gemma3:1b,analise_codigo,3,ok,7761.3295,7934.1357,36.2778,128.0,0.0,524.86,21.73,649.0
gemma3:1b,raciocinio_logico_curto,3,ok,5371.2766,5384.0464,40.5967,51.0,0.0,524.88,17.0,649.0
gemma3:1b,hardware_ia_local,3,ok,7917.4194,8509.9524,32.4546,128.0,0.0,524.89,14.92,649.0
gemma3:1b,reescrita_objetiva,3,ok,4741.7205,4810.2939,39.7646,33.0,0.0,524.91,10.8,649.0
gemma3:1b,tarefa_longa_uso_real,3,ok,7342.3888,7382.3665,38.5214,128.0,0.0,524.93,16.29,649.0
llama3.2:1b,explicacao_conceitual_curta,3,ok,4181.5239,4192.9589,36.2497,50.0,0.0,524.94,9.83,623.0
llama3.2:1b,explicacao_tecnica_media,3,ok,6690.0715,7326.9168,33.05,128.0,0.0,525.08,13.71,623.0
llama3.2:1b,resumo_texto,3,ok,3421.4545,3463.2296,36.7894,25.0,0.0,525.09,11.42,623.0
llama3.2:1b,geracao_codigo_simples,3,ok,7198.0578,7419.3846,28.6555,128.0,0.0,525.11,12.05,623.0
llama3.2:1b,analise_codigo,3,ok,7702.7115,7779.5588,26.2549,128.0,0.0,525.13,11.52,623.0
llama3.2:1b,raciocinio_logico_curto,3,ok,4051.6129,4072.0997,36.4077,45.0,0.0,525.14,10.83,623.0
llama3.2:1b,hardware_ia_local,3,ok,7366.5921,7519.5077,27.8393,128.0,0.0,525.15,13.14,623.0
llama3.2:1b,reescrita_objetiva,3,ok,3365.9816,3422.9539,37.1118,23.0,0.0,525.17,9.61,623.0
llama3.2:1b,tarefa_longa_uso_real,3,ok,6229.6222,6257.4285,36.8821,128.0,0.0,525.18,14.83,623.0
llama3.2:3b,explicacao_conceitual_curta,3,ok,7501.3109,7687.9514,19.4707,91.0,0.0,525.2,7.89,623.0
llama3.2:3b,explicacao_tecnica_media,3,ok,13506.7285,14633.9764,12.1467,128.0,0.0,525.23,5.34,623.0
llama3.2:3b,resumo_texto,3,ok,14129.4154,15303.5898,11.3402,128.0,0.0,525.28,5.62,623.0
llama3.2:3b,geracao_codigo_simples,3,ok,6538.9915,7180.2136,18.3755,67.0,0.0,525.3,6.74,623.0
llama3.2:3b,analise_codigo,3,ok,9930.6332,10454.9962,18.0812,128.0,0.0,525.31,7.86,623.0
llama3.2:3b,raciocinio_logico_curto,3,ok,11192.3131,13137.8781,11.857,95.0,0.0,525.34,4.94,625.0
llama3.2:3b,hardware_ia_local,3,ok,12891.1791,13858.6944,12.8008,128.0,0.0,525.37,6.21,625.0
llama3.2:3b,reescrita_objetiva,3,ok,3810.2798,3852.1937,20.8391,22.0,0.0,525.39,5.67,625.0
llama3.2:3b,tarefa_longa_uso_real,3,ok,9782.5976,10177.6032,18.3395,128.0,0.0,525.41,7.93,625.0
gemma3:4b,explicacao_conceitual_curta,3,ok,8737.1541,8802.3906,13.9759,70.0,0.0,525.44,0.0,167.0
gemma3:4b,explicacao_tecnica_media,3,ok,16581.3549,17030.6071,12.8714,128.0,0.0,525.47,14.31,177.0
gemma3:4b,resumo_texto,3,ok,23961.9596,25571.2336,7.4389,128.0,0.0,525.52,11.81,177.0
gemma3:4b,geracao_codigo_simples,3,ok,15789.4579,16120.911,11.1781,128.0,0.0,525.56,0.2,177.0
gemma3:4b,analise_codigo,3,ok,22942.2301,26401.8659,8.4175,128.0,0.0,525.61,12.87,177.0
gemma3:4b,raciocinio_logico_curto,3,ok,13173.6442,13760.8353,9.6235,62.0,0.0,525.64,23.68,191.0
gemma3:4b,hardware_ia_local,3,ok,17151.6667,18354.447,10.5286,128.0,0.0,525.68,0.19,191.0
gemma3:4b,reescrita_objetiva,3,ok,17578.4334,19879.3852,8.8857,110.0,0.0,525.71,0.12,191.0
gemma3:4b,tarefa_longa_uso_real,3,ok,18908.9423,19879.6672,10.6532,128.0,0.0,525.77,16.76,191.0
llama3:8b,explicacao_conceitual_curta,3,ok,33789.9917,34117.579,3.4771,107.0,0.0,525.84,1.4,611.0
llama3:8b,explicacao_tecnica_media,3,ok,38070.9315,39281.8915,3.6433,128.0,0.0,510.1,1.56,611.0
llama3:8b,resumo_texto,3,ok,27420.4577,27600.6384,4.1189,101.0,0.0,478.59,1.67,611.0
llama3:8b,geracao_codigo_simples,3,ok,36981.4448,38331.4535,3.7699,128.0,0.0,478.66,1.88,611.0
llama3:8b,analise_codigo,3,ok,34225.936,34385.796,4.0839,128.0,0.0,410.62,1.81,611.0
llama3:8b,raciocinio_logico_curto,3,ok,22893.3219,23094.631,4.2012,84.0,0.0,410.95,1.5,611.0
llama3:8b,hardware_ia_local,3,ok,34480.6222,34672.301,4.0423,128.0,0.0,371.64,1.87,611.0
llama3:8b,reescrita_objetiva,3,ok,21683.6804,22182.9479,3.9921,75.0,0.0,352.02,1.93,611.0
llama3:8b,tarefa_longa_uso_real,3,ok,43805.5974,51803.4689,3.2426,128.0,0.0,352.1,1.83,611.0
qwen3.5:latest,explicacao_conceitual_curta,3,ok,37514.0686,42186.7718,3.8591,128.0,0.0,352.2,0.5,189.0
qwen3.5:latest,explicacao_tecnica_media,3,ok,40800.5597,41487.1519,3.4293,128.0,0.0,328.82,0.44,199.0
qwen3.5:latest,resumo_texto,3,ok,38189.525,38241.2349,3.6901,128.0,0.0,328.95,0.64,199.0
qwen3.5:latest,geracao_codigo_simples,3,ok,39139.6935,39778.7749,3.6,128.0,0.0,268.04,0.57,199.0
qwen3.5:latest,analise_codigo,3,ok,38703.7353,38965.9974,3.6354,128.0,0.0,268.16,0.59,199.0
qwen3.5:latest,raciocinio_logico_curto,3,ok,40013.9446,42619.9564,3.5184,128.0,0.0,246.01,0.45,199.0
qwen3.5:latest,hardware_ia_local,3,ok,42174.7701,43762.2281,3.3276,128.0,0.0,246.12,0.47,199.0
qwen3.5:latest,reescrita_objetiva,3,ok,38986.1163,39579.3235,3.6121,128.0,0.0,246.29,0.59,199.0
qwen3.5:latest,tarefa_longa_uso_real,3,ok,29369.9301,32966.4462,5.0067,128.0,0.0,237.55,0.8,199.0
qwen2.5-coder:14b,explicacao_conceitual_curta,3,ok,29228.3149,30877.7477,3.3218,87.0,0.0,219.92,0.0,207.0
qwen2.5-coder:14b,explicacao_tecnica_media,3,ok,43657.0599,45413.1129,3.1447,128.0,0.0,219.41,0.0,207.0
qwen2.5-coder:14b,resumo_texto,3,ok,42761.368,46366.4053,3.2384,128.0,0.0,218.33,0.0,207.0
qwen2.5-coder:14b,geracao_codigo_simples,3,ok,41720.7019,44616.3836,3.3078,128.0,0.0,215.93,0.0,207.0
qwen2.5-coder:14b,analise_codigo,3,ok,39382.9625,41332.8377,3.5155,128.0,0.0,217.93,0.0,207.0
qwen2.5-coder:14b,raciocinio_logico_curto,3,ok,28348.7076,31391.1136,2.9764,74.0,0.0,211.45,0.0,207.0
qwen2.5-coder:14b,hardware_ia_local,3,ok,45446.7469,48408.5059,3.0383,128.0,0.0,211.56,0.0,207.0
qwen2.5-coder:14b,reescrita_objetiva,3,ok,7118.9376,7183.6907,4.4844,19.0,0.0,211.59,0.0,207.0
qwen2.5-coder:14b,tarefa_longa_uso_real,3,ok,45468.7649,50856.1231,3.0375,128.0,0.0,211.71,0.0,207.0
