teste,hardware,tamanho,batch,repeticoes,tempo_medio_ms,tempo_mediana_ms,tempo_desvio_ms,tempo_min_ms,tempo_max_ms,tempo_p95_ms,throughput_itens_s,speedup_cuda_vs_cpu,memoria_inicio_mb,memoria_fim_mb,gpu_peak_mb,status,observacao,arquivo_origem,modelo,pretrained,categoria_tarefa,execucoes,tempo_total_ms_media,tempo_total_ms_p95,tokens_por_segundo_media,tokens_gerados_media,taxa_falha,ram_processo_mb_pico_medio,gpu_media_media,vram_mb_pico_medio
torch_matmul,CUDA,512,na,10.0,0.2405,0.195,0.0843,0.1773,0.4364,0.3781,,5.0719,812.39,812.69,12.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CUDA,1024,na,10.0,1.0651,1.0844,0.0788,0.9311,1.1797,1.1572,,12.501,812.76,812.78,24.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CUDA,1536,na,10.0,2.9343,2.7277,0.643,2.6153,4.7451,3.9209,,10.104,812.8,812.8,44.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_matmul,CUDA,2048,na,10.0,6.966,7.0918,0.4219,6.3984,7.7212,7.5199,,11.5138,812.8,812.8,72.12,ok,Multiplicação de matrizes float32 com PyTorch.,benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CUDA,mlp_1024_2048x2_512,1,10.0,0.5232,0.4655,0.1847,0.4427,1.0479,0.7966,1911.315,2.1088,832.75,832.75,36.16,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CUDA,mlp_1024_2048x2_512,8,10.0,0.4996,0.4952,0.019,0.4691,0.545,0.529,16012.8102,5.1325,849.7,849.7,36.31,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CUDA,mlp_1024_2048x2_512,16,10.0,0.6542,0.5817,0.2434,0.5555,1.3455,1.0109,24457.3525,4.9795,849.71,849.71,36.49,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_mlp_inference,CUDA,mlp_1024_2048x2_512,32,10.0,0.7164,0.6991,0.0452,0.6778,0.8308,0.7939,44667.7834,4.1954,849.72,849.72,36.83,ok,"Inferência sintética MLP com entrada aleatória; mede desempenho, não acurácia.",benchmark_torch_cpu_gpu.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,1,10.0,0.9697,1.0236,0.1859,0.6873,1.2198,1.183,1031.2468,8.1245,1263.27,1263.49,14.92,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,8,10.0,4.4862,4.501,0.0587,4.4072,4.5652,4.558,1783.2464,8.6106,1283.34,1283.36,61.81,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,16,10.0,8.7625,8.7488,0.0665,8.6745,8.8533,8.8525,1825.9629,8.4727,1284.11,1284.12,117.41,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_cnn_sintetico,CUDA,3x224x224,32,10.0,17.2329,17.2108,0.0646,17.183,17.3796,17.3441,1856.9132,8.0406,1290.55,1290.55,222.6,ok,"CNN sintética com entrada aleatória; mede desempenho da arquitetura, não acurácia.",benchmark_cnn_sintetico.csv,,,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,1,10.0,23.7166,22.7522,4.6768,18.0399,32.6213,31.5811,42.1646,0.8883,1521.1,1521.32,32.23,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,8,10.0,20.1475,18.9458,4.0597,17.3159,29.8572,27.4274,397.0716,4.2658,1569.01,1569.01,105.95,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,16,10.0,32.7741,32.7695,0.2069,32.4347,33.226,33.0767,488.1904,4.9367,1569.5,1569.5,191.2,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,32,10.0,64.791,64.7412,0.1741,64.5132,65.1338,65.057,493.8958,5.2824,1595.57,1595.57,361.7,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,1,10.0,8.2802,8.1932,0.2771,7.926,8.7685,8.6867,120.77,9.1692,1548.7,1548.7,63.98,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,8,10.0,15.9859,15.9615,0.0674,15.9134,16.1035,16.0782,500.441,23.1649,1561.64,1561.64,107.32,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,16,10.0,29.4542,29.4207,0.1165,29.2364,29.6105,29.6078,543.2162,22.2381,1564.58,1564.58,162.95,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,32,10.0,55.3696,55.3813,0.2483,54.9295,55.6739,55.667,577.9345,22.1073,1565.25,1565.26,268.2,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
